basiccar,pop.total,pop.male,pop.u20,pop.20.64,pop.married,pop.white,pop.black,pop.native,pop.asian,pop.pacific,pop.latino,occupants.1.5,rent.35.income,occ.units,pop.single.hh,hh.size,no.school,poverty,med.income,pop.no.insur,pop.unempl,city,x,y,R_MeanDiff
21A1,44647.60199,48.86909994,25.5281903,61.24797756,0.236428228,59.4122515,4.878922104,1.009068744,17.17197796,0.504640671,37.12393477,3.521756831,53.60093551,14424.20028,0.14343829,3.081724725,16.94128419,14.33901271,71249.0905,4.554279708,4.690328906,1,-118.4215709,34.27583638,26.68181818
21A29,48304.29168,50.9774206,23.30714611,65.42562723,0.229828567,50.42460837,5.061296733,1.245433745,18.33001625,0.301012363,48.51792849,5.009440033,50.51960872,14791.53182,0.159682716,3.257281536,21.45536603,14.1672554,64590.30572,8.122129755,5.582661206,1,-118.4113184,34.25899299,15.26315789
21A43,31499.52885,49.13364636,24.49425477,61.23070705,0.265764226,72.83193821,4.615301959,1.448847866,16.85077584,0.938775696,24.26083469,2.289744014,49.155596,11218.67035,0.133931726,2.950132465,10.85649908,10.28909786,85722.384,4.307522946,4.851210596,1,-118.3616919,34.23673471,16.23529412
21A5,44693.3515,65.83152034,34.38101014,84.07930084,0.287603236,73.17873322,6.910857725,1.346952848,20.76309492,0.45537617,66.738313,6.92872218,70.91165655,18782.43699,0.215854258,4.169086053,31.34240224,23.96449561,76905.38054,8.93888462,6.382871471,1,-118.3828843,34.2173758,20.97222222
21A57,36413.87978,50.86083531,25.98535435,65.73157323,0.206188343,58.97871998,5.299620322,1.323555542,14.34230464,0.487652638,56.31758344,6.193561168,51.52309453,11697.47851,0.183362132,3.188009563,26.8913486,19.23350186,55128.23615,8.594217558,5.052971664,1,-118.5921968,34.26721123,26.5483871
21A73,31889.24623,48.58621781,24.66030092,59.44700612,0.292178622,82.23795013,4.482228203,0.880344785,13.9753877,0.300220614,9.532212303,0.658086476,52.89661652,12329.4949,0.116610976,2.600755198,3.184403323,8.276194165,102641.9372,4.048169933,4.16792848,1,-118.4914577,34.27741026,16.77272727
21A97,29385.71914,48.91595299,23.09240218,60.2474011,0.286223282,81.3902662,5.436630891,0.679547107,12.00557297,0.261445688,12.83022093,0.956250995,50.88515387,11532.22556,0.130582002,2.532958185,4.835564837,7.868951108,91021.96068,4.07852855,5.057924853,1,-118.4976539,34.23529727,13.4
2A1,46632.48372,50.64678751,20.85654296,67.85766178,0.190893923,41.00092049,3.576943862,0.872418385,20.55792582,0.512077853,54.1093999,14.70309308,51.07585286,16499.52668,0.201523092,2.927512325,29.67925637,25.69787955,37398.86508,7.523658432,6.851327616,1,-118.2819031,33.95578755,22.83333333
2A17,56948.22503,52.52559756,23.26426524,67.2608105,0.157164484,41.75833621,4.750803164,1.793683682,19.49077116,0.27954432,62.23413868,20.05353547,47.69742982,20439.82747,0.21825299,2.935567716,35.54236118,29.83795758,39311.40297,8.193659969,6.754693105,1,-118.239815,33.94789742,23.88235294
2A39,62449.12581,51.85076426,19.71291082,70.01677812,0.168598494,55.19153398,5.269016445,2.311320054,20.8493677,0.478692237,51.14259322,9.004230072,45.65358055,23300.83832,0.234661994,2.613383609,25.14453527,24.29359357,48648.96299,7.157815092,6.219371896,1,-118.2653958,33.95299357,19.19230769
2A45,48342.76766,53.98863071,25.53248099,65.24728541,0.145193695,27.73837932,5.204161039,1.296757945,20.61189077,0.109037036,69.20687967,29.96501946,49.96949363,16507.67091,0.20084954,3.13134356,45.25943785,35.65034494,29459.91361,9.87260902,6.800425922,1,-118.2869737,33.90227341,12.63888889
2A47,47632.17734,53.70690765,24.91654283,65.94995462,0.147792113,31.92261192,5.191959831,1.553167785,19.56374621,0.152537226,67.59745661,28.0477984,49.82256632,16654.37709,0.207395157,3.006583109,43.19761876,35.68629076,31106.51547,10.48778992,6.531133878,1,-118.4579696,34.26739821,16.12
2A5,60787.74128,50.88968531,21.41195181,68.56905979,0.173778679,49.27791612,4.317343333,1.747638209,20.33163995,0.494918411,55.1466026,12.69985651,47.16767254,22182.06434,0.220140278,2.814444808,27.58555635,24.465053,44908.83957,6.955361123,6.66295616,1,-118.4648406,34.23688644,19.5
2A69,25745.98849,53.81609959,24.32609396,67.63763691,0.142672164,35.9265404,6.018371982,2.496193252,15.61586507,0.201594876,66.83037141,31.43892292,53.5215673,10279.88452,0.230331134,2.401978286,44.57290148,45.7810153,25200.89174,18.10990526,4.615085203,1,-118.4300571,34.31481807,13.69767442
2A75,50483.17192,52.2259326,25.85281495,64.6830664,0.159463102,26.95422818,4.862108229,1.402258325,19.22203092,0.212189413,70.72430963,28.04591795,51.93834752,16805.58269,0.19510354,3.07991192,44.26483892,33.91034029,30114.57434,9.706135664,7.162153859,1,-118.4301931,34.23916127,18.16666667
2A91,43985.16341,50.26342717,25.99761965,64.37224106,0.169121283,28.42855974,5.735839679,1.398886462,18.12578547,0.345080727,68.95295432,23.07794812,52.69719382,14703.99376,0.189598613,2.919462665,40.42862915,33.05947604,31163.32801,6.23559902,7.366526157,1,-118.4452781,34.21630335,20.59259259
3A1,47073.2482,47.80030078,23.6990431,64.90148308,0.181658248,38.90647926,36.19534537,1.499873553,4.202772407,0.30000323,53.09538474,3.900006343,59.09642971,17211.2608,0.164172821,2.764957581,25.09715093,22.19790399,41147.40923,7.699031248,6.199638963,1,-118.2382399,34.06274675,25.42857143
3A15,49396.30625,48.42085869,26.83597528,63.31230674,0.157976511,23.11271739,29.75950941,1.947363372,8.341046865,0.26949164,55.2659214,7.125456028,59.13898943,15250.38859,0.156213477,3.277643669,32.66314431,31.569945,32719.16366,7.924566887,7.266391574,1,-118.2361389,34.0437696,17.63043478
3A19,41253.94651,49.6394026,25.21303429,67.65083849,0.11483719,31.65524582,10.89849458,1.120879444,21.0341924,0.496781072,50.39303236,11.20082324,65.50349382,11552.71292,0.171531299,3.362879713,35.53060763,48.16730463,22765.6284,6.213748997,6.78213773,1,-118.25429,34.05030702,9.659090909
3A31,48968.10065,47.88380812,25.19174826,63.65857592,0.175815215,31.27872177,35.82790865,1.789999758,4.324357025,0.258581788,54.63376275,4.769987229,58.23127759,16830.99989,0.158982639,2.961820627,27.87592765,23.98168779,38885.6906,7.990124232,6.697215292,1,-118.2654884,34.04160497,11.26829268
3A41,35824.77801,44.94338547,21.25664003,62.99978644,0.194485569,25.63121524,59.63805644,1.420047437,4.454826013,0.227828514,32.22687384,3.177079577,58.68205248,15206.47977,0.140791255,2.408268126,19.12506418,21.35031522,38011.69742,5.537498007,6.470027497,1,-118.2570954,34.03795936,13.95
3A55,45368.94349,47.89491831,27.70542971,61.89170462,0.167111287,20.51222103,34.68231629,1.729495894,3.41962269,0.340469277,59.31757718,6.509741389,57.97919791,13900.71378,0.150590995,3.365025792,35.33643135,26.68999875,36114.08811,8.661475813,7.002877276,1,-118.3157301,34.07253579,9.333333333
